Installment Number,Installment Date,Installment Price
1,2021-03-01,19444.444444444445
2,2021-04-01,19444.444444444445
3,2021-05-01,19444.444444444445
4,2021-06-01,19444.444444444445
5,2021-07-01,19444.444444444445
6,2021-08-01,19444.444444444445
7,2021-09-01,19444.444444444445
8,2021-10-01,19444.444444444445
9,2021-11-01,19444.444444444445
10,2021-12-01,19444.444444444445
11,2022-01-01,19444.444444444445
12,2022-02-01,19444.444444444445
13,2022-03-01,19444.444444444445
14,2022-04-01,19444.444444444445
15,2022-05-01,19444.444444444445
16,2022-06-01,19444.444444444445
17,2022-07-01,19444.444444444445
18,2022-08-01,19444.444444444445
19,2022-09-01,19444.444444444445
20,2022-10-01,19444.444444444445
21,2022-11-01,19444.444444444445
22,2022-12-01,19444.444444444445
23,2023-01-01,19444.444444444445
24,2023-02-01,19444.444444444445
25,2023-03-01,19444.444444444445
26,2023-04-01,19444.444444444445
27,2023-05-01,19444.444444444445
28,2023-06-01,19444.444444444445
29,2023-07-01,19444.444444444445
30,2023-08-01,19444.444444444445
31,2023-09-01,19444.444444444445
32,2023-10-01,19444.444444444445
33,2023-11-01,19444.444444444445
34,2023-12-01,19444.444444444445
35,2024-01-01,19444.444444444445
36,2024-02-01,19444.444444444445
